branch_name,fbus,tbus,r,x,b,P_f,Q_f,P_t,Q_t
滝川幹線,32,31,0.035,0.137,0.004,-18.31735983,5.478164507,18.33104882,-9.426770444
奈井江幹線,22,32,0.043,0.253,0.008,-18.30285219,-2.440663618,18.31735983,-5.478164507
狩勝幹線,8,33,0.018,0.23,0.064,158.5374942,-44.43891974,-158.0839518,-14.03424164
北新得変電所Tr,33,34,0,0.275,0,77.57823562,6.88717414,-77.57823562,-5.227119229
北新得変電所Tr,33,34,0,0.265,0,80.50571621,7.147067503,-80.50571621,-5.424369011
他社線73,34,19,0.17,0.586,0.019,1.946788398,-10.70967349,-1.945902562,-8.323086252
日勝幹線1,35,34,0.037,0.208,0.007,31.07950074,-11.87196728,-31.04117938,5.081094618
日勝幹線2,36,35,0.048,0.266,0.009,31.12767667,-10.39907321,-31.07950074,1.664480577
奥新冠線1,37,36,0.011,0.059,0.00048,32.1394488,-6.347222415,-32.12767667,5.930338011
奥新冠線2,38,37,0.013,0.074,0.00058,32.1532048,-5.237409517,-32.1394488,4.735658365
日高幹線,38,9,0.12,0.881,0.007,-3.584149687,-4.971737703,3.58595071,-2.028165583
道東幹線,34,39,0.061,0.496,0.028,17.46630634,-23.82429375,-17.44187182,-4.127143738
釧路幹線,39,40,0.092,0.317,0.01,16.536462,4.127143738,-16.50386281,-14.06280144
他社線109,40,41,0.032,0.115,0.004,-3.812708575,0.191039908,3.813327241,-4.189850387
他社線110,41,42,0.041,0.146,0.004,-3.813327241,-0.400930172,3.814028223,-3.596779965
他社線115,34,42,0.16,0.551,0.005,21.27949454,-7.144151679,-21.20371332,2.401400544
他社線115,34,42,0.171,0.588,0.005,19.93640694,-6.859649868,-19.86530443,2.100420021
南早来変電所Tr,8,9,0,0.27,0,130.423949,2.168742882,-130.423949,2.409120163
南早来変電所Tr,8,9,0,0.269,0,130.9087964,2.176805123,-130.9087964,2.418076
大野変電所Tr,24,25,0,0.229,0,228.6807302,5.183814527,-228.6807302,6.810343736
大野変電所Tr,24,25,0,0.236,0,221.8978272,5.030057317,-221.8978272,6.608342015
Gen1Tr,43,6,0,0.014,0,4.96E-13,-41.51818125,-4.96E-13,41.54231388
Gen2Tr,44,10,0,0.014,0,959,-99.92061269,-959,112.9359245
Gen3Tr,45,1,0,0.014,0,352.5,-51.38298075,-352.5,53.1595312
Gen4Tr,46,7,0,0.014,0,24,-66.19526367,-24,66.26467305
Gen5Tr,47,4,0,0.014,0,0,-20.22943144,0,20.23516066
Gen6Tr,48,25,0,0.014,0,33.52631579,23.86387484,-33.52631579,-23.84016586
Gen7Tr,49,28,0,0.014,0,0,0.753496899,0,-0.75348895
Gen8Tr,50,27,0,0.014,0,0,-7.49871664,0,7.499503871
Gen9Tr,51,13,0,0.014,0,-1.24E-13,-21.80748771,1.24E-13,21.81414564
Gen10Tr,52,14,0,0.014,0,0,-11.36046249,0,11.36226934
Gen11Tr,53,14,0,0.014,0,90.33260013,-11.3033517,-90.33260013,11.41938013
Gen12Tr,54,17,0,0.014,0,80.71644951,-9.178589036,-80.71644951,9.27098052
Gen13Tr,55,17,0,0.014,0,11.97368421,-9.223185724,-11.97368421,9.226383832
Gen14Tr,56,34,0,0.014,0,-1,-54.06722271,1,54.10816241
Gen15Tr,57,31,0,0.014,0,30,-5.971591523,-30,5.984690762
Gen16Tr,58,42,0,0.014,0,-14,0.907796136,14,-0.905040599
Gen17Tr,59,41,0,0.014,0,0,-4.590485543,0,4.590780559
Gen18Tr,60,40,0,0.014,0,5,-13.86871875,-5,13.87176153
Gen19Tr,61,37,0,0.014,0,4.96E-13,-1.611527692,-4.96E-13,1.61156405
Gen20Tr,62,38,0,0.014,0,-4.96E-13,-5.104205369,4.96E-13,5.10457011
Gen21Tr,63,38,0,0.014,0,-1,-5.10419837,1,5.10457711
Gen22Tr,64,36,0,0.014,0,-1,-2.23428721,1,2.234371099
Gen23Tr,65,36,0,0.014,0,-4.96E-13,-2.23429421,4.96E-13,2.234364099
Gen24Tr,66,35,0,0.014,0,-4.96E-13,-10.20602842,4.96E-13,10.20748671
Gen25Tr,67,22,0,0.014,0,1.24E-13,-4.281291819,-1.24E-13,4.281548432
Gen26Tr,68,29,0,0.014,0,208,-19.33981007,-208,19.95074247
Gen27Tr,69,31,0,0.014,0,2.48E-13,-5.977890996,-2.48E-13,5.978391289
Gen28Tr,70,31,0,0.014,0,60.95095036,-5.951888039,-60.95095036,6.004394246
Gen29Tr,71,18,0,0.014,0,4.96E-13,-16.74710904,-4.96E-13,16.75103556
,,,,,,,,,
